record,source,order,family,acceptedFamily,genus,acceptedGenus,subgenus,specificEp,,scientificName,acceptedName,synSource,yearpub,PUBL,year,month,Anacapa,Santa Barbara,Santa Catalina,San Clemente,Santa Cruz,San Miguel,San Nicholas,Santa Rosa 
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Micrandrena),piperi,,Andrena piperi,Andrena piperi,Discover Life,1968,Bull. Univ. Nebr. State Mus.,,,,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Micrandrena),piperi,,Andrena piperi,Andrena piperi,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Onagrandrena),oenotherae,,Andrena oenotherae,Andrena oenotherae,Discover Life,1973,Univ. Calif. Publ. Ent.,,,,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Onagrandrena),oenotherae,,Andrena oenotherae,Andrena oenotherae,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Plastandrena),prunorum prunorum,,Andrena prunorum prunorum,Andrena prunorum prunorum,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,1978,6,1,,,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Plastandrena),prunorum prunorum,,Andrena prunorum prunorum,Andrena prunorum prunorum,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Simandrena),hypoleuca,,Andrena hypoleuca,Andrena hypoleuca,Discover Life,1939,Pom. Coll. J. Ent. & Zool.,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Simandrena),hypoleuca,,Andrena hypoleuca,Andrena hypoleuca,Discover Life,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Simandrena),hypoleuca,,Andrena hypoleuca,Andrena hypoleuca,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Simandrena),hypoleuca,,Andrena hypoleuca,Andrena hypoleuca,Discover Life,1989,Trans. Amer. Ent. Soc.,,,,,1,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Simandrena),pallidifovea,,Andrena pallidifovea,Andrena pallidifovea,Discover Life,1989,Trans. Amer. Ent. Soc.,,,,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Simandrena),,,,,,1985,Ent. Calif. Ch. Isls. Proc.,1979,3,1,,,,,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Simandrena),,,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Andrena,Andrena,(Thysandrena),candida,,Andrena candida,Andrena candida,Discover Life,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Panurginus,Panurginus,,armaticeps,,Panurginus armaticeps,Panurginus armaticeps,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Panurginus,Panurginus,,gracilis,,Panurginus gracilis,Panurginus gracilis,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Perdita,Perdita,,layiae layiae,,Perdita layiae layiae,Perdita layiae layiae,,1938,Ann. & Mag. Nat. Hist.,1938,5,,,,,,1,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Perdita,Perdita,,layiae layiae,,Perdita layiae layiae,Perdita layiae layiae,,1938,Ann. & Mag. Nat. Hist. ser. 11,,,,,,,,1,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Perdita,Perdita,,layiae layiae,,Perdita layiae layiae,Perdita layiae layiae,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Perdita,Perdita,,layiae layiae,,Perdita layiae layiae,Perdita layiae layiae,,1956,Univ. Calif. Publ. Ent.,,,,,,,,1,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Perdita,Perdita,,layiae layiae,,Perdita layiae layiae,Perdita layiae layiae,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,1,,
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Perdita,Perdita,,,,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,1
lit,lit,Hymenoptera,Andrenidae,Andrenidae,Pterosarus,Pseudopanurgus,,californicus,,Pterosarus californicus,Pseudopanurgus californicus,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,1,,,,1
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),bomboides,,Anthophora bomboides,Anthophora bomboides,,1902,Rep. Agr. Exp. Sta. Univ. Cal,1898,6,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),bomboides,,Anthophora bomboides,Anthophora bomboides,,1938,Ann. & Mag. Nat. Hist.,1938,5,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),bomboides,,Anthophora bomboides,Anthophora bomboides,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),bomboides,,Anthophora bomboides,Anthophora bomboides,,1939,Sci. Mon.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),bomboides,,Anthophora bomboides,Anthophora bomboides,,1983,Univ. Calif. Publ. Ent.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),bomboides,,Anthophora bomboides,Anthophora bomboides,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),californica,,Anthophora californica,Anthophora californica,,1988,Univ. Kansas Sci. Bull.,,,,,,,,1,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),californica,,Anthophora californica,Anthophora californica,,1988,Univ. Kansas Sci. Bull.,,,,,,,,1,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),catalinae,,Anthophora catalinae,Anthophora urbana,,NA,,,,,,,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),edwardsii,,Anthophora edwardsii,Anthophora edwardsii,,1985,Ent. Calif. Ch. Isls. Proc.,1940,8,1,,,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),edwardsii,,Anthophora edwardsii,Anthophora edwardsii,,1939,Bull. S. Calif. Acad. Sci.,1939,3,,,,1,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),edwardsii,,Anthophora edwardsii,Anthophora edwardsii,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,1,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),edwardsii,,Anthophora edwardsii,Anthophora edwardsii,,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,1,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),edwardsii,,Anthophora edwardsii,Anthophora edwardsii,,1938,Ann. & Mag. Nat. Hist.,1938,5,,,1,,,1,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),edwardsii,,Anthophora edwardsii,Anthophora edwardsii,,1985,Ent. Calif. Ch. Isls. Proc.,,,1,1,1,1,1,1,1,1
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1901,Can. Ent.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1901,Can. Ent.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1903,Psyche,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1937,Pan-Pac. Ent.,1937,7,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1937,Pan-Pac. Ent.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,,1,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1939,Bull. S. Calif. Acad. Sci.,,,,,,,,,1,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1939,Bull. S. Calif. Acad. Sci.,1939,5,,1,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1939,Bull. S. Calif. Acad. Sci.,1939,8,,,,,1,1,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,1,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,,,,1,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1940,Proc. Sixth Pac. Sci. Cong.,,,,,,1,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1940,Proc. Sixth Pac. Sci. Cong.,1901,8,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1985,Ent. Calif. Ch. Isls. Proc.,,,,1,1,1,1,,1,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophora),urbana,,Anthophora urbana,Anthophora urbana,,1988,Univ. Kansas Sci. Bull.,,,,,1,1,,,1,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophorida),californica,,Anthophora californica,Anthophora californica,,1937,Pan-Pac. Ent.,1937,7,,,,,,1,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophorida),californica,,Anthophora californica,Anthophora californica,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophorida),californica,,Anthophora californica,Anthophora californica,,1985,Ent. Calif. Ch. Isls. Proc.,1978,8,1,,,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Anthophora,Anthophora,(Anthophorida),californica,,Anthophora californica,Anthophora californica,,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,,,,1,,1
lit,lit,Hymenoptera,Anthophoridae,Apidae,Centris,Centris,(Xerocentris),pallida,,Centris pallida,Centris pallida,,1966,LACM Cont. Sci.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Centris,Centris,(Xerocentris),pallida,,Centris pallida,Centris pallida,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,acantha,,Ceratina acantha,Ceratina acantha,,1939,Bull. S. Calif. Acad. Sci.,1939,8,,,,,1,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,acantha,,Ceratina acantha,Ceratina acantha,,1973,Univ. Calif. Publ. Ent.,,,1,,,,1,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,acantha,,Ceratina acantha,Ceratina acantha,,1985,Ent. Calif. Ch. Isls. Proc.,1919,8,1,,,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,acantha,,Ceratina acantha,Ceratina acantha,,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,,,1,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,nanula,,Ceratina nanula,Ceratina nanula,,1892,Zoe,1892,8,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,nanula,,Ceratina nanula,Ceratina nanula,,1902,Rep. Agr. Exp. Sta. Univ. Cal,1898,6,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,nanula,,Ceratina nanula,Ceratina nanula,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,nanula,,Ceratina nanula,Ceratina nanula,,1973,Univ. Calif. Publ. Ent.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Ceratina,Ceratina,,nanula,,Ceratina nanula,Ceratina nanula,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,bituberculata,,Diadasia bituberculata,Diadasia bituberculata,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,1,1,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,enavata,,Diadasia enavata,Diadasia enavata,,1899,Can. Ent.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,enavata,,Diadasia enavata,Diadasia enavata,,1902,Rep. Agr. Exp. Sta. Univ. Cal,1898,6,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,enavata,,Diadasia enavata,Diadasia enavata,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,ochracea,,Diadasia ochracea,Diadasia ochracea,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,ochracea,,Diadasia ochracea,Diadasia ochracea,,1940,Proc. Sixth Pac. Sci. Cong.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,ochracea,,Diadasia ochracea,Diadasia ochracea,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,opuntiae,,Diadasia opuntiae,Diadasia opuntiae,,1939,Pan-Pac. Ent.,,,,,1,,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,opuntiae,,Diadasia opuntiae,Diadasia opuntiae,,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,1,,,,
lit,lit,Hymenoptera,Anthophoridae,Apidae,Diadasia,Diadasia,,opuntiae,,Diadasia opuntiae,Diadasia opuntiae,,1969,"Ph. D. thesis, Univ. Calif. D.",,,,,1,1,,,,
